Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Gagnon",C,2,0.11,5,0,144,7,2,23,28,0,2,0,0.545,55,25,30,0,0,0,19,0,0,12,0,0,0,0,10,0,2,0.11,0,-3,2,0,0,1,0,0,0,0,,12.8,0,0,0,1,2,0,244,0,9,0,4,153,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Palushaj",RW,0,0,1,0,23,7,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,0,3,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,,12,0,0,0,0,0,0,36,0,3,0,0,25,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,4,0.07,59,1,852,15,2,0,0,1,3,0,0,0,0,0,1,0,0,56,21,0,78,1,0,19,1,24,0,5,0.09,53,1,22,0,2,0,0,0,2,0,,23.8,0,1,0,0,0,0,1330,0.02,50,0,13,975,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Volpatti",LW,1,0.07,3,0,97,6,1,0,0,1,2,1,0,0,0,0,1,0,0,15,0,0,36,2,0,3,0,2,0,2,0.13,16,-1,4,0,0,0,0,0,0,0,,10.3,0,0,0,0,0,0,155,0.167,6,0,0,102,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Voros",LW,0,0,1,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,12,5,0,4,0,1,0,0,0,43,-4,0,0,0,0,0,0,0,0,,9.7,0,0,0,0,0,0,116,0,8,0,1,66,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,6,0.1,70,1,769,12,6,157,196,8,14,2,0.534,477,222,255,8,0,1,63,13,1,77,3,0,18,3,32,0,14,0.22,91,2,10,0,0,5,2,0,0,0,,21.4,0,1,0,60,57,0,1350,0.09,89,0,14,904,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Cracknell",RW,4,0.17,7,0,207,8,4,69,46,3,7,1,0.39,118,72,46,3,0,0,24,1,0,29,0,0,4,0,12,0,7,0.29,8,1,0,0,0,1,0,0,0,0,,14.1,0,0,0,2,0,0,339,0.115,26,0,8,214,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Foote",D,8,0.17,67,0,702,14,8,0,0,0,8,0,0,0,0,0,0,0,0,47,15,0,55,1,0,14,0,6,0,8,0.17,33,-9,6,0,0,0,0,0,0,0,,24.6,0,2,0,0,0,0,1158,0,23,0,4,842,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Hall",RW,11,0.13,59,0,972,11,11,186,271,7,18,0,0.55,655,295,360,7,0,0,82,18,1,152,2,0,11,0,53,0,18,0.22,32,-12,14,0,0,12,10,0,0,0,,23,0,2,0,97,79,0,1885,0.042,167,0,22,1217,14,39,2,0,7,0,0,0,0,0,0,0,0,0,0
"Adam Henrique",C,0,0,2,0,12,12,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,16,0,0,0,0,0,0,16,0,3,0,0,13,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Mair",C,3,0.05,16,0,560,8,3,51,53,1,4,1,0.509,112,55,57,1,0,0,65,10,0,63,5,0,10,0,19,0,4,0.06,45,-16,5,0,0,0,0,0,0,0,,13.6,0,0,0,4,4,0,886,0.017,58,0,13,591,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam McQuaid",D,12,0.18,131,0,895,13,12,0,0,3,15,0,0,0,0,0,3,0,0,67,15,0,102,12,0,13,1,16,0,15,0.22,96,30,4,0,0,0,0,0,0,0,,20.2,0,1,0,0,0,0,1353,0.065,46,0,5,996,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Pardy",D,6,0.2,44,0,415,13,5,0,0,1,6,0,0,0,0,0,1,0,0,30,16,0,42,0,0,12,0,12,0,7,0.23,24,3,6,0,1,0,0,0,1,0,,20.2,0,0,0,0,0,0,606,0.028,36,0,8,440,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrian Aucoin",D,19,0.25,75,0,1334,17,17,0,0,3,20,0,0,0,0,0,3,0,0,75,22,0,134,0,0,26,0,53,0,22,0.29,52,18,65,0,2,0,0,0,2,0,,28.7,0,2,0,0,0,0,2156,0.03,99,0,26,1624,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al Montoya",G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,0,18,9,5,5,585,46,2.39,539,0.921,1
"Alec Martinez",D,11,0.18,73,0,806,13,7,0,0,4,11,0,0,0,0,0,5,0,0,60,22,0,69,0,0,9,0,38,0,16,0.27,18,11,105,1,4,0,0,1,5,0,,20.6,0,0,0,0,0,0,1237,0.068,74,0,4,916,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ales Hemsky",RW,28,0.6,18,2,670,14,19,4,1,12,31,4,0.143,7,6,1,14,0,0,47,32,1,29,0,0,8,0,37,0,42,0.89,18,3,151,3,8,0,0,1,9,0,,24.2,0,0,1,2,0,1,1138,0.14,100,2,17,859,18,45,0,0,3,0,0,0,0,0,0,0,0,0,0
"Ales Kotalik",RW,2,0.08,4,0,283,10,1,4,4,3,4,0,0.545,11,5,6,4,0,0,26,10,2,38,0,0,4,0,24,0,6,0.23,8,-7,37,1,1,1,2,1,2,0,,16.8,0,0,0,0,0,0,438,0.065,62,0,7,321,12,44,1,0,2,0,0,0,0,0,0,0,0,0,0
"Alex Auld",G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,12,6,2,2,383,33,2.64,350,0.914,0
"Alex Burrows",LW,22,0.31,24,3,990,13,21,1,3,24,45,9,0.428,14,8,6,26,0,1,72,15,4,84,1,0,26,1,64,0,48,0.67,77,26,73,1,0,2,2,1,1,0,,25.3,0,2,1,5,1,1,1824,0.171,152,2,39,1226,17,40,2,1,2,0,0,0,0,0,0,0,0,0,0
"Alex Goligoski",D,32,0.39,106,0,1401,16,15,0,0,7,22,3,0,0,0,0,14,0,0,83,56,4,75,0,0,20,0,82,1,46,0.55,40,20,332,4,17,0,0,7,24,0,,24.7,0,1,0,0,0,0,2052,0.086,162,0,14,1845,22,54,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alex Kovalev",RW,18,0.24,8,1,1010,13,14,4,2,10,24,6,0.3,10,7,3,16,0,0,74,66,3,14,0,0,17,1,61,0,34,0.46,44,-6,202,2,4,3,1,6,10,0,,18.2,0,0,0,0,0,0,1345,0.106,151,0,38,1222,16,55,1,0,4,0,0,0,0,0,0,0,0,0,0
"Alex Pietrangelo",D,32,0.41,121,0,1344,17,21,0,0,7,28,0,0,0,0,0,11,0,0,79,36,1,57,1,0,7,0,74,0,43,0.54,19,18,237,3,10,0,0,4,14,0,,28.2,0,1,1,0,0,0,2229,0.068,161,1,40,1738,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Plante",D,0,0,3,0,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,1,0,3,0,0,0,0,0,11,-2,0,0,0,0,0,0,0,0,,22.7,0,0,0,0,0,0,68,0,5,0,0,45,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Stalock",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,9,0,0,9,1,0
"Alex Tanguay",LW,47,0.59,38,1,1171,14,30,41,26,19,49,2,0.392,107,65,42,22,0,0,79,57,2,31,0,0,12,0,48,0,69,0.87,24,0,288,3,17,6,6,3,20,0,,23.5,0,1,0,18,10,0,1858,0.183,120,0,49,1561,19,50,10,4,16,0,0,0,0,0,0,0,0,0,0
"Alexander Burmistrov",C,14,0.19,22,0,870,11,13,361,252,6,19,0,0.415,696,407,289,6,0,0,74,34,2,62,1,0,11,0,34,0,20,0.27,27,-12,22,0,0,10,14,0,0,0,,18.1,0,1,1,36,23,0,1337,0.065,92,1,48,978,13,44,1,1,3,0,0,0,0,0,0,0,0,0,0
"Alexander Edler",D,25,0.49,86,0,932,18,13,0,0,3,16,2,0,0,0,0,8,0,0,51,24,1,83,0,0,12,0,70,0,33,0.65,24,13,192,3,12,0,0,5,17,0,,28.5,0,2,0,0,0,0,1452,0.066,121,0,25,1238,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Frolov",LW,9,0.21,15,0,520,12,8,5,0,7,15,0,0.143,7,6,1,7,0,0,43,10,2,39,0,0,4,0,24,0,16,0.37,8,4,97,2,1,1,1,0,1,0,,17.9,0,0,0,0,0,0,770,0.09,78,0,12,620,14,48,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alexander Ovechkin",LW,53,0.67,23,4,1330,16,36,12,6,25,61,5,0.333,18,12,6,32,1,0,79,59,11,241,1,0,18,0,159,3,85,1.08,41,24,354,4,17,0,0,7,24,0,,21.7,0,0,0,0,0,0,1716,0.087,367,0,48,1687,21,59,4,3,10,0,0,0,0,0,0,0,0,0,0
"Alexander Semin",RW,26,0.4,6,2,904,13,14,6,2,21,35,1,0.308,13,9,4,28,0,1,65,42,4,27,1,0,27,0,112,1,54,0.83,71,22,208,3,12,3,2,6,18,0,,20.7,0,0,0,0,0,1,1348,0.143,196,1,62,1174,18,52,2,1,6,0,0,0,0,0,0,0,0,0,0
"Alexander Steen",C,31,0.43,28,1,1113,15,22,50,37,17,39,6,0.387,106,65,41,20,0,0,72,25,5,39,0,0,13,0,120,0,51,0.71,26,-3,225,3,9,0,1,1,10,0,,24.6,0,0,0,15,3,2,1774,0.092,218,2,29,1407,19,48,3,1,5,0,0,0,0,0,0,0,0,0,0
"Alexander Sulzer",D,4,0.1,52,0,607,15,2,0,0,1,3,1,0,0,0,0,1,0,0,40,10,0,38,0,0,7,0,19,0,5,0.12,14,-8,44,1,2,0,0,0,2,0,,21.8,0,1,0,0,0,0,871,0.027,37,0,8,701,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Urbom",D,0,0,6,0,96,12,0,0,0,1,1,0,0,0,0,0,1,0,0,8,5,1,5,0,0,0,0,7,0,1,0.12,0,-2,1,0,0,0,0,0,0,0,,15.9,0,0,0,0,0,0,127,0.2,5,0,1,100,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Vasyunov",LW,4,0.22,2,0,205,11,4,0,0,1,5,0,0,0,0,0,1,0,0,18,5,0,6,0,0,0,0,5,0,5,0.28,0,0,1,0,0,0,0,0,0,0,,15,0,0,0,0,0,0,270,0.056,18,0,5,206,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexandre Bolduc",C,2,0.08,14,0,163,6,2,49,41,2,4,1,0.454,97,53,44,2,0,0,24,2,1,29,1,0,3,1,5,0,4,0.17,21,1,3,0,0,4,2,0,0,0,,12.5,0,0,0,0,1,0,301,0.095,21,0,4,178,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexandre Giroux",LW,1,0.12,3,0,92,11,1,1,0,1,2,0,0,2,2,0,1,0,0,8,1,0,16,0,0,1,0,4,0,2,0.25,2,-2,25,3,0,1,0,0,0,0,,20.9,0,0,0,0,0,0,167,0.077,13,0,1,118,14,42,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alexandre Picard",D,5,0.12,59,0,637,14,5,0,0,1,6,1,0,0,0,0,3,0,0,43,28,1,55,1,0,6,0,23,0,8,0.19,17,0,44,1,0,0,0,2,2,0,,21.6,0,0,0,0,0,0,930,0.061,49,0,9,706,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexei Ponikarovsky",LW,10,0.16,28,0,652,10,8,4,1,4,12,1,0.2,5,4,1,5,0,0,61,27,1,139,0,0,17,0,36,0,15,0.25,36,1,56,0,2,0,0,1,3,0,,18.2,0,0,0,0,0,0,1113,0.053,94,0,12,768,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anders Lindback",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,18,11,5,2,576,49,2.6,527,0.915,2
