player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Gagnon",C,0,0,4,0,68,6.8,0,0,0,3,3,0,0.526,57,27,30,3,0.3,0,10,2,1,7,0,0,1,0,3,0,3,0.3,2,2,1,0.1,0,0,0,0,0,0,1.1,11.7,2,0.2,0,0,0,0,117,0.273,11,0,4,81.54,8.112,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Johnson",D,0,0,5,0,134,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,18,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0.8,20.3,4,0.4,0,0,0,0,203,0,8,0,0,148.7,14.787,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Palushaj",RW,7,0.28,13,0,252,10.08,7,0,0,2,9,0,0.25,8,6,2,2,0.08,0,25,5,0,32,0,0,4,0,8,0,9,0.36,8,-3,11,0.44,0,0,0,0,0,0,1.16,16.64,0,0,0,0,0,0,416,0.069,29,0,8,282.83,11.275,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,5,0.185,32,0,355,13.148,5,0,0,0,5,0,0,0,0,0,0,0,0,27,9,0,43,0,0,9,0,6,0,5,0.185,18,-2,0,0,0,0,0,0,0,0,0.556,22.37,30,1.111,0,0,0,0,604,0,15,0,2,414.02,15.32,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Volpatti",LW,1,0.03,10,0,256,7.758,1,0,0,1,2,0,0.25,4,3,1,1,0.03,0,33,5,0,80,5,0,5,0,11,0,2,0.061,35,-2,2,0.061,0,0,0,0,0,0,0.636,11.667,0,0,0,0,0,0,385,0.048,21,0,4,275.11,8.319,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,2,0.043,33,0,401,8.717,2,0,0,0,2,0,0.535,228,106,122,1,0.022,0,46,10,0,65,1,0,10,0,18,0,3,0.065,25,-7,0,0,0,0,0,0,0,0,0.848,17.587,38,0.826,0,0,0,1,809,0.026,39,1,4,486.21,10.56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Cracknell",RW,4,0.2,7,0,162,8.1,4,0,0,2,6,0,0.24,25,19,6,2,0.1,0,20,1,0,22,0,0,2,0,8,0,6,0.3,4,4,0,0,0,0,0,0,0,0,1.05,13.45,0,0,0,0,0,0,269,0.095,21,0,6,172.37,8.574,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Hall",RW,4,0.108,26,0,295,7.973,4,0,0,0,4,0,0.562,251,110,141,0,0,0,37,6,0,59,1,0,4,1,13,0,4,0.108,23,-2,2,0.054,0,0,0,0,0,0,0.919,16.162,53,1.432,0,0,0,0,598,0,34,0,11,389.67,10.518,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Henrique",C,5,0.119,21,1,563,13.405,3,0,0,6,9,0,0.49,680,347,333,11,0.262,0,42,13,2,27,0,0,8,0,38,0,16,0.381,16,-3,90,2.143,1,0,0,3,4,0,1.857,24.595,54,1.286,1,0,0,2,1033,0.141,78,3,26,769.38,18.308,0.74,0,0,2,0,0,0,0,0,0,0,0,0,0
"Adam Larsson",D,6,0.162,49,0,604,16.324,6,0,0,0,6,0,0,0,0,0,0,0,0,37,22,0,37,0,0,6,0,10,0,6,0.162,12,4,2,0.054,0,0,0,0,0,0,0.811,23.541,27,0.73,0,0,0,0,871,0,30,0,17,669.75,18.087,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
