player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Gagnon",C,0,0,4,0,65,9,0,21,18,0,0,0,0.45,40,22,18,0,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.9,13.3,0,0,0,1,0,0,93,0,6,0,1,66,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Johnson",D,13,0.23,72,0,801,14,12,0,0,2,14,0,0,0,0,0,3,0.05,0,56,21,0,99,0,0,8,1,26,0,16,0.29,26,-12,47,0,1,0,0,1,2,0,1.1,21.4,75,1,0,0,0,0,1198,0.048,63,0,17,924,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Ness",D,0,0,17,0,149,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,2,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0.7,21.7,2,0,0,0,0,0,195,0,6,0,2,152,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Palushaj",RW,4,0.11,11,0,285,7,4,4,0,1,5,1,0,4,4,0,1,0.03,0,38,5,0,28,0,0,4,0,14,0,5,0.13,8,1,1,0,0,0,0,0,0,0,1,10.2,0,0,0,0,0,0,388,0.027,37,0,9,287,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,6,0.14,62,0,602,14,5,0,0,3,8,2,0,0,0,0,4,0.09,1,43,13,1,64,2,0,13,0,28,0,10,0.23,46,-4,22,0,1,0,0,1,2,0,1,20.3,29,0,0,0,0,0,875,0.095,42,0,4,654,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Volpatti",LW,0,0,8,0,203,8,0,0,4,1,1,0,1,4,0,4,1,0.04,0,23,4,0,61,5,0,6,0,6,0,1,0.04,37,-2,1,0,0,0,0,0,0,0,0.7,13.6,0,0,0,0,0,0,313,0.059,17,0,1,206,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,13,0.2,36,0,702,10,11,123,165,6,17,1,0.558,389,172,217,6,0.09,1,65,13,1,69,0,0,18,3,31,0,19,0.29,76,6,34,0,2,10,11,0,2,0,1.3,18,94,1,0,39,41,0,1170,0.073,82,0,17,831,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Cracknell",RW,0,0,3,0,14,7,0,1,0,1,1,0,0,1,1,0,1,0.5,0,2,0,0,1,0,0,0,0,1,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0.5,13,1,0,0,0,0,0,26,1,1,0,1,15,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Hall",RW,5,0.09,30,0,509,8,5,123,191,2,7,0,0.595,464,188,276,2,0.04,0,57,6,1,89,1,0,6,0,18,0,7,0.12,17,-11,3,0,0,2,2,0,0,0,1.1,18,163,2,0,63,83,0,1024,0.032,63,0,12,676,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Henrique",C,35,0.47,57,0,1090,14,24,437,406,12,36,2,0.488,1026,525,501,16,0.22,0,74,25,3,83,1,0,1,0,34,1,51,0.69,7,8,121,1,8,29,33,0,8,0,1.8,23.7,132,1,3,59,62,4,1757,0.123,130,7,49,1343,18,46,1,1,3,0,0,0,0,0,0,0,0,0,0
